Chromosome	Kosambi	Name	Male	Female	User.p	Extrapolation	Chromosome.E	Kosambi.e	Male.e	female.e	Ensembl57.p	Extrapolation.e
1	263.9442	rs6679445	187.3606	344.0451	240942076	0	1	269.3765	194.1398	348.2916	242875453	0
1	278.4221	rs12094001	205.8335	354.857	246156874	0	1	281.5089	209.0345	357.5789	248090251	1
1	278.6498	rs1933162	206.0951	355.0457	246245652	0	1	281.5948	209.0774	357.6648	248179029	1
1	279.0698	rs7537031	206.5777	355.3939	246409460	0	1	281.7533	209.1567	357.8233	248342837	1
1	279.1204	rs10888327	206.6359	355.4359	246429202	0	1	281.7724	209.1662	357.8424	248362579	1
14	40.1032	rs2050481	39.5732	41.2066	40141385	0	14	40.4533	40.0416	41.29	41071635	0
15	1.8686	rs9944233	1.7871	1.9515	23337098	0	15	6.1668	5.917	6.378	25786005	0
16	114.4439	rs2934467	89.939	141.1317	83528924	0	16	121.0994	94.1398	150.0774	84971423	0
2	184.5231	rs6713305	133.6204	237.3531	177855789	0	2	184.8313	133.8818	237.7008	178147543	0
3	133.6064	rs1879804	101.9584	167.8211	125560353	0	3	131.9522	100.6258	165.7007	124077663	0
3	165.7928	rs6787513	121.9074	212.2667	155686602	0	3	164.8238	120.5712	211.8365	154203908	0
5	168.8454	rs6862022	124.2886	215.4291	160037922	0	5	168.8877	124.3278	215.4773	160105344	0
8	45.7974	rs1457266	44.8464	47.7395	24825757	0	8	45.7689	44.8042	47.6989	24769852	0
8	66.8914	rs7840334	54.0524	80.7379	53276984	0	8	66.63	54.04	80.23	53114431	0
8	116.908	rs16875341	76.754	159.118	108018022	0	8	116.848	76.7045	159.045	107948846	0
999	-99.00	rs1234455	-99.00	-99.00	-99.00	0	7	105.7662	73.5256	139.4718	95303755	0
999	-99.00	rs4451579	-99.00	-99.00	-99.00	0	1	281.8929	209.2264	357.9629	248487016	1
